model,gain,spectral_rate,direct_eigen_rate,eta
Hub-attached,0.07,-0.9226838590490979,-0.9226838590490978,0.9053736922080979
Hub-attached,0.075,-0.9171612775526048,-0.9171612775526048,0.9053736922080979
Hub-attached,0.08,-0.9116386960561118,-0.9116386960561133,0.9053736922080979
Hub-attached,0.085,-0.9061161145596188,-0.9061161145596196,0.9053736922080979
Hub-attached,0.09,-0.9005935330631258,-0.9005935330631263,0.9053736922080979
Hub-attached,0.095,-0.8950709515666329,-0.8950709515666333,0.9053736922080979
Hub-attached,0.1,-0.8895483700701398,-0.8895483700701408,0.9053736922080979
Hub-attached,0.105,-0.8840257885736468,-0.8840257885736462,0.9053736922080979
Hub-attached,0.11,-0.8785032070771538,-0.8785032070771543,0.9053736922080979
Hub-attached,0.115,-0.8729806255806607,-0.8729806255806607,0.9053736922080979
Hub-attached,0.12,-0.8674580440841677,-0.8674580440841677,0.9053736922080979
Hub-attached,0.125,-0.8619354625876747,-0.8619354625876757,0.9053736922080979
Hub-attached,0.13,-0.8564128810911817,-0.8564128810911826,0.9053736922080979
Hub-attached,0.135,-0.8508902995946888,-0.8508902995946895,0.9053736922080979
Hub-attached,0.14,-0.8453677180981957,-0.8453677180981959,0.9053736922080979
Hub-attached,0.145,-0.8398451366017027,-0.8398451366017023,0.9053736922080979
Hub-attached,0.15,-0.8343225551052097,-0.8343225551052105,0.9053736922080979
Hub-attached,0.155,-0.8287999736087166,-0.8287999736087159,0.9053736922080979
Hub-attached,0.16,-0.8232773921122236,-0.8232773921122258,0.9053736922080979
Hub-attached,0.165,-0.8177548106157306,-0.8177548106157313,0.9053736922080979
Hub-attached,0.17,-0.8122322291192376,-0.8122322291192374,0.9053736922080979
Hub-attached,0.17500000000000002,-0.8067096476227447,-0.806709647622745,0.9053736922080979
Hub-attached,0.18,-0.8011870661262517,-0.8011870661262521,0.9053736922080979
Hub-attached,0.185,-0.7956644846297586,-0.795664484629759,0.9053736922080979
Hub-attached,0.19,-0.7901419031332656,-0.7901419031332665,0.9053736922080979
Hub-attached,0.195,-0.7846193216367725,-0.7846193216367733,0.9053736922080979
Hub-attached,0.2,-0.7790967401402795,-0.7790967401402795,0.9053736922080979
Hub-attached,0.20500000000000002,-0.7735741586437865,-0.7735741586437865,0.9053736922080979
Hub-attached,0.21,-0.7680515771472936,-0.7680515771472944,0.9053736922080979
Hub-attached,0.215,-0.7625289956508006,-0.762528995650801,0.9053736922080979
Hub-attached,0.22,-0.7570064141543076,-0.7570064141543078,0.9053736922080979
Hub-attached,0.225,-0.7514838326578145,-0.7514838326578153,0.9053736922080979
Hub-attached,0.23,-0.7459612511613215,-0.7459612511613212,0.9053736922080979
Hub-attached,0.23500000000000001,-0.7404386696648284,-0.7404386696648286,0.9053736922080979
Hub-attached,0.24,-0.7349160881683354,-0.7349160881683355,0.9053736922080979
Hub-attached,0.245,-0.7293935066718424,-0.7293935066718432,0.9053736922080979
Hub-attached,0.25,-0.7238709251753495,-0.7238709251753502,0.9053736922080979
Hub-attached,0.255,-0.7183483436788565,-0.7183483436788565,0.9053736922080979
Hub-attached,0.26,-0.7128257621823635,-0.7128257621823639,0.9053736922080979
Hub-attached,0.265,-0.7073031806858704,-0.707303180685871,0.9053736922080979
Hub-attached,0.27,-0.7017805991893774,-0.7017805991893784,0.9053736922080979
Hub-attached,0.275,-0.6962580176928843,-0.6962580176928843,0.9053736922080979
Hub-attached,0.28,-0.6907354361963913,-0.6907354361963916,0.9053736922080979
Hub-attached,0.28500000000000003,-0.6852128546998983,-0.685212854699899,0.9053736922080979
Hub-attached,0.29,-0.6796902732034054,-0.679690273203406,0.9053736922080979
Hub-attached,0.295,-0.6741676917069124,-0.6741676917069127,0.9053736922080979
Hub-attached,0.3,-0.6686451102104194,-0.6686451102104196,0.9053736922080979
Hub-attached,0.305,-0.6631225287139264,-0.6631225287139265,0.9053736922080979
Hub-attached,0.31,-0.6575999472174333,-0.657599947217433,0.9053736922080979
Hub-attached,0.315,-0.6520773657209403,-0.6520773657209396,0.9053736922080979
Hub-attached,0.32,-0.6465547842244472,-0.6465547842244477,0.9053736922080979
Hub-attached,0.325,-0.6410322027279542,-0.641032202727954,0.9053736922080979
Hub-attached,0.33,-0.6355096212314613,-0.6355096212314624,0.9053736922080979
Hub-attached,0.335,-0.6299870397349683,-0.6299870397349687,0.9053736922080979
Hub-attached,0.34,-0.6244644582384753,-0.6244644582384755,0.9053736922080979
Hub-attached,0.34500000000000003,-0.6189418767419822,-0.6189418767419831,0.9053736922080979
Hub-attached,0.35000000000000003,-0.6134192952454892,-0.6134192952454897,0.9053736922080979
Hub-attached,0.355,-0.6078967137489962,-0.6078967137489962,0.9053736922080979
Hub-attached,0.36,-0.6023741322525032,-0.6023741322525031,0.9053736922080979
Hub-attached,0.365,-0.5968515507560102,-0.5968515507560102,0.9053736922080979
Hub-attached,0.37,-0.5913289692595172,-0.591328969259517,0.9053736922080979
Hub-attached,0.375,-0.5858063877630242,-0.5858063877630242,0.9053736922080979
Hub-attached,0.38,-0.5802838062665312,-0.5802838062665323,0.9053736922080979
Hub-attached,0.385,-0.5747612247700382,-0.5747612247700389,0.9053736922080979
Hub-attached,0.39,-0.5692386432735451,-0.5692386432735459,0.9053736922080979
Hub-attached,0.395,-0.5637160617770521,-0.563716061777052,0.9053736922080979
Hub-attached,0.4,-0.558193480280559,-0.5581934802805597,0.9053736922080979
Hub-attached,0.405,-0.5526708987840661,-0.5526708987840668,0.9053736922080979
Hub-attached,0.41000000000000003,-0.5471483172875731,-0.5471483172875731,0.9053736922080979
