network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
network_006,Modular,False,Full DMWA,Node + order + degree,1.0154208706441537e-15,True,9.653116450491397e-17,144,32,True,3.6017164470718797
network_007,Random,False,Coverage,Node,9.321810480125005e-16,True,1.361917554098602e-16,12,12,True,4.338413041441126
network_007,Random,False,Coverage,Node + order,1.1329145299236859e-15,False,,24,18,True,7.157362819141196
network_007,Random,False,Coverage,Node + order + degree,1.2258980706308679e-15,False,,168,27,True,4.381214439722835
network_007,Random,False,Constant bias,Node,0.08121958374666341,False,,12,12,False,4.338413041441126
network_007,Random,False,Constant bias,Node + order,1.071616611494461e-15,True,1.4016680429143976e-16,24,18,True,7.157362819141196
network_007,Random,False,Constant bias,Node + order + degree,1.0728290323952035e-15,False,,168,27,True,4.381214439722835
network_007,Random,False,Full DMWA,Node,0.09021716712764463,False,,12,12,False,4.338413041441126
network_007,Random,False,Full DMWA,Node + order,0.03616653598153509,False,,24,18,False,7.157362819141196
network_007,Random,False,Full DMWA,Node + order + degree,1.05753540552473e-15,True,1.861500882838179e-16,168,27,True,4.381214439722835
network_008,Core-periphery,False,Coverage,Node,7.240739688050011e-16,True,1.12538602508917e-16,12,12,True,5.490760625531586
network_008,Core-periphery,False,Coverage,Node + order,5.482976074995046e-16,False,,24,19,True,9.517483285949032
network_008,Core-periphery,False,Coverage,Node + order + degree,3.890212704196908e-16,False,,216,28,True,3.0631184428468607
network_008,Core-periphery,False,Constant bias,Node,0.06356665073007028,False,,12,12,False,5.490760625531586
network_008,Core-periphery,False,Constant bias,Node + order,5.130300790464927e-16,True,7.963188796065216e-17,24,19,True,9.517483285949032
network_008,Core-periphery,False,Constant bias,Node + order + degree,3.9729410296925523e-16,False,,216,28,True,3.0631184428468607
network_008,Core-periphery,False,Full DMWA,Node,0.07339770443203485,False,,12,12,False,5.490760625531586
network_008,Core-periphery,False,Full DMWA,Node + order,0.031897742527418296,False,,24,19,False,9.517483285949032
network_008,Core-periphery,False,Full DMWA,Node + order + degree,3.9598005263629867e-16,True,1.0219537850770906e-16,216,28,True,3.0631184428468607
network_009,Modular,False,Coverage,Node,1.2365945940600395e-15,True,1.9316311438172913e-16,12,12,True,4.5106370553106565
network_009,Modular,False,Coverage,Node + order,1.4335455480875578e-15,False,,24,21,True,5.073923594243957
network_009,Modular,False,Coverage,Node + order + degree,2.178331876149279e-16,False,,144,27,True,3.0
network_009,Modular,False,Constant bias,Node,0.0568903648808385,False,,12,12,False,4.5106370553106565
network_009,Modular,False,Constant bias,Node + order,1.4184382552979693e-15,True,1.8036044346726765e-16,24,21,True,5.073923594243957
network_009,Modular,False,Constant bias,Node + order + degree,2.1664385200419856e-16,False,,144,27,True,3.0
network_009,Modular,False,Full DMWA,Node,0.06040450377630866,False,,12,12,False,4.5106370553106565
network_009,Modular,False,Full DMWA,Node + order,0.022483496284525686,False,,24,21,False,5.073923594243957
network_009,Modular,False,Full DMWA,Node + order + degree,2.166378410936359e-16,True,8.831774287887162e-17,144,27,True,3.0
