network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
network_078,Modular,FALSE,Full DMWA,0.00487477866024447,0.00378888405445009,0.00390669578404072,0.00193805134713569,0.00549434128423414,1.0047106146632792,1.0043857078792284
network_079,Random,FALSE,Full DMWA,0.01105428377401347,0.00249804706863833,0.00381350334210484,6.1442570805572e-4,0.00459863973616727,0.990308624316301,0.9855433378231836
network_080,Core-periphery,FALSE,Full DMWA,1.8465654836348e-4,0.00158369515877806,0.00259125795836724,2.9199063786172e-4,0.0031135889467141,1.0000715063640084,0.9994985901693204
network_081,Modular,FALSE,Full DMWA,0.02345726148234034,0.00361030040133503,0.00649532628303354,4.8171345760305e-4,0.00748885453327639,0.9834788960542232,0.9593509472732942
network_082,Random,FALSE,Full DMWA,0.00180291102136953,0.00162703552679428,0.00269123379512814,2.7613604611671e-4,0.00324076812835775,0.9977635815231872,0.9994057206280532
network_083,Core-periphery,FALSE,Full DMWA,0.00162327450689677,0.00209789671272861,0.00254985747123636,9.0381909865773e-4,0.00328938786383092,0.99869858471362,0.9964947868079012
network_084,Modular,FALSE,Full DMWA,0.00118914530541954,0.00137189247411469,0.00194955953925759,7.5499037590176e-4,0.00235195311701804,1.00099097011283,1.0021965358320777
network_085,Random,FALSE,Full DMWA,0.01059983245903848,0.00314098737318174,0.00340043858660253,0.00171183748248843,0.00449582198682787,1.0094570270632846,1.0164929347185248
network_086,Core-periphery,FALSE,Full DMWA,0.00356874961183844,9.8525689162871e-4,0.00129778321345323,3.9981468681695e-4,0.00160032918493978,0.9967570202812298,0.9953197656472148
network_087,Modular,FALSE,Full DMWA,0.00344168679420669,0.00234523560219605,0.00295186013835366,9.4182983007471e-4,0.00377070817637132,0.997153988450372,0.9936429018623528
network_088,Random,FALSE,Full DMWA,0.00403160082650636,0.00175021146055169,0.00245131147154277,4.6839833800892e-4,0.00310233720642099,1.0040809243335782,1.0042635281150656
network_089,Core-periphery,FALSE,Full DMWA,0.00201098725066066,7.0236129116241e-4,0.00105248939819777,1.576058144498e-4,0.00130666830702972,1.0019185705838027,1.0024004040383478
network_090,Modular,FALSE,Full DMWA,0.00284395108505243,0.00426906611362997,0.00379638090811895,0.00362046965935058,0.00528226592005818,0.9973466754439518,0.9960993091109756
network_091,Random,FALSE,Full DMWA,0.00124850487493767,0.00473322492277706,0.00469190515128454,0.00294508148706288,0.00652459300048299,0.9999678893754528,0.9928645155148192
network_092,Core-periphery,FALSE,Full DMWA,0.00114894695238796,3.9608430998445e-4,6.5163708642755e-4,7.980098994203469e-5,7.5846009175369e-4,1.000891111838192,1.0020465312866558
network_093,Modular,FALSE,Full DMWA,0.00685512378168998,0.00160514362794059,0.00281772675878141,2.1234703049468e-4,0.0033448797257381,0.9931495251879762,0.9928937362546671
network_094,Random,FALSE,Full DMWA,0.00471879292914634,0.0020519390744575,0.00328817808507745,3.9174561575114e-4,0.00398540828010736,1.003977378820502,1.0070444911465974
network_095,Core-periphery,FALSE,Full DMWA,0.00336473402999099,0.00116389441622316,0.00192408570567201,1.9827684722008e-4,0.00230795624122465,0.997183147333356,0.9949155606886696
network_096,Modular,FALSE,Full DMWA,0.00243468532988124,0.00197771999667946,0.00207170889643878,0.00127689247426784,0.00275323373075242,0.9976804407402826,0.9979923113338552
network_097,Random,FALSE,Full DMWA,0.0012558032598723,7.0003760742444e-4,0.00107051116591693,1.4267978154336e-4,0.0013172698219828,1.0011448741115734,1.00178767365334
network_098,Core-periphery,FALSE,Full DMWA,0.01065425252521207,0.00168787900566834,0.0032794832319208,1.411419046697e-4,0.00384102980037594,1.009789789971054,1.0136522497218443
network_099,Modular,FALSE,Full DMWA,0.0165855340359304,0.00308639457307058,0.00314494476094938,0.00248941550739088,0.00409977156370805,0.985276463343882,0.974260638268088
network_100,Random,FALSE,Full DMWA,7.245349495541806e-5,7.2363238431855e-4,0.00100709583367559,1.8433670641954e-4,0.00128219030018645,1.0000756505278598,0.9996433979133754
