network,family,variant,time,state,node,value,total,fraction,TV
toy_0,Triangle,Full DMWA,3.2,2,B,0.06711655431772094,0.2013496629531628,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.2,2,C,0.06711655431772094,0.2013496629531628,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,1,A,0.07515721389440254,0.2254716416832076,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,1,B,0.07515721389440254,0.2254716416832076,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,1,C,0.07515721389440254,0.2254716416832076,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,2,A,0.06394138267241728,0.19182414801725184,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,2,B,0.06394138267241728,0.19182414801725184,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.3000000000000003,2,C,0.06394138267241728,0.19182414801725184,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,1,A,0.07165884904428024,0.21497654713284073,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,1,B,0.07165884904428024,0.21497654713284073,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,1,C,0.07165884904428024,0.21497654713284073,0.3333333333333333,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,2,A,0.06091819545900955,0.18275458637702863,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,2,B,0.06091819545900955,0.18275458637702863,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.4000000000000004,2,C,0.06091819545900955,0.18275458637702863,0.33333333333333337,8.326672684688674e-17
toy_0,Triangle,Full DMWA,3.5,1,A,0.0683206917056648,0.20496207511699438,0.3333333333333333,0.0
