network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa
network_013,Random,False,Coverage,Node,2.6052248199724217e-16,5.551115123125783e-17,0.0,True,True,0.0,7.374124377064053e-05,-0.4504150067404554
network_013,Random,False,Constant bias,Node,0.00836943935720207,0.0006287292086908924,0.0,True,False,0.0,6.305795865075018e-05,-0.4382139708773999
network_013,Random,False,Constant bias,Node + order,2.7002391340692507e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.43098646041291055
network_013,Random,False,Full DMWA,Node,0.008711147229141502,0.0006318592279143179,0.0,True,False,0.0,5.0616510587359134e-05,-0.4388122456852077
network_013,Random,False,Full DMWA,Node + order,0.0006182266315319255,7.22545237465122e-05,0.0,True,False,0.0,0.0,0.0
network_013,Random,False,Full DMWA,Node + order + degree,2.0484299088408023e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.43129650595698943
network_014,Core-periphery,False,Coverage,Node,2.868571852353887e-16,8.326672684688674e-17,0.0,True,True,0.0,9.668057797971438e-05,-0.44020529665231234
network_014,Core-periphery,False,Constant bias,Node,0.005071277588349353,0.0006055604460971573,0.0,True,False,0.0,9.115791215443569e-05,-0.43606015982863366
network_014,Core-periphery,False,Constant bias,Node + order,2.778965910773088e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.4408447597934647
network_014,Core-periphery,False,Full DMWA,Node,0.004658026604633748,0.0005559969043438598,0.0,True,False,0.0,7.882342296996522e-05,-0.43687151771712635
network_014,Core-periphery,False,Full DMWA,Node + order,0.00016161458267857862,1.9981751842628598e-05,0.0,True,False,0.0,0.0,0.0
network_014,Core-periphery,False,Full DMWA,Node + order + degree,2.6958852997562753e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.44121315351023493
network_015,Modular,False,Coverage,Node,2.5616328716443884e-16,5.551115123125783e-17,0.0,True,True,0.0,0.00011490264374264245,-0.40665094290125003
network_015,Modular,False,Constant bias,Node,0.011050408765844424,0.0013788497340507452,0.0,True,False,0.0,9.384731688797612e-05,-0.3847995187891866
network_015,Modular,False,Constant bias,Node + order,2.178557808778215e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.38067790093069737
network_015,Modular,False,Full DMWA,Node,0.011345084809866577,0.0013616696568836545,0.0,True,False,0.0,8.334852078266397e-05,-0.3849304239150229
network_015,Modular,False,Full DMWA,Node + order,0.0011754598197370135,0.00014504360906505281,0.0,True,False,0.0,0.0,1.507525205919753e-16
network_015,Modular,False,Full DMWA,Node + order + degree,2.294363092483126e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.3808122737807734
