network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_019,Random,FALSE,Full DMWA,Node + order,9.9993444385799e-4,1.3123734031754e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.09999344438579899
network_019,Random,FALSE,Full DMWA,Node + order + degree,1.9193890093979832e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.3707098599999856,"Nodes +
order + degree",1.9193890093979832e-14
network_020,Core-periphery,FALSE,Full DMWA,Node,0.00246304536429269,3.0099403425087e-4,0,TRUE,FALSE,0,3.7581860675048217e-6,-0.42342388396787,Nodes,0.24630453642926897
network_020,Core-periphery,FALSE,Full DMWA,Node + order,5.571973103122e-4,7.289264039377422e-5,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.05571973103122
network_020,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.068255600220804e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.4241807167756891,"Nodes +
order + degree",2.068255600220804e-14
network_021,Modular,FALSE,Full DMWA,Node,0.01686879882434617,0.00123413297582093,0,TRUE,FALSE,0,1.1435205160906e-4,-0.4386877489338442,Nodes,1.686879882434617
network_021,Modular,FALSE,Full DMWA,Node + order,7.4563454599537e-4,1.0380747956179e-4,0,TRUE,FALSE,0,0,1.0235543957948322e-16,"Nodes +
order",0.074563454599537
network_021,Modular,FALSE,Full DMWA,Node + order + degree,2.3350958278325564e-16,3.4694469519536136e-17,0,TRUE,TRUE,0,0,-0.4238883285193204,"Nodes +
order + degree",2.3350958278325564e-14
network_022,Random,FALSE,Full DMWA,Node,0.01408971316174502,0.00163800581418497,0,TRUE,FALSE,0,9.69814144471767e-5,-0.4084102267829185,Nodes,1.408971316174502
network_022,Random,FALSE,Full DMWA,Node + order,7.1640269672991e-4,1.0119949321047e-4,0,TRUE,FALSE,0,0,3.3045751651441173e-16,"Nodes +
order",0.071640269672991
network_022,Random,FALSE,Full DMWA,Node + order + degree,1.884195316660016e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3970302975791765,"Nodes +
order + degree",1.884195316660016e-14
network_023,Core-periphery,FALSE,Full DMWA,Node,0.00707297501967022,6.5763192166984e-4,0,TRUE,FALSE,0,9.295897369970668e-5,-0.38931993521481617,Nodes,0.707297501967022
network_023,Core-periphery,FALSE,Full DMWA,Node + order,0.00100913676757325,1.6031734901547e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.100913676757325
network_023,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.858366281184196e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3853704504069967,"Nodes +
order + degree",2.8583662811841963e-14
network_024,Modular,FALSE,Full DMWA,Node,0.00882756984549926,0.00110996865097895,0,TRUE,FALSE,0,4.793271377078306e-5,-0.2764107979406487,Nodes,0.8827569845499259
network_024,Modular,FALSE,Full DMWA,Node + order,4.0124174939218e-4,5.61433464506822e-5,0,TRUE,FALSE,0,0,1.288546883994039e-16,"Nodes +
order",0.040124174939218
network_024,Modular,FALSE,Full DMWA,Node + order + degree,3.0515296693947927e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.2723721616828856,"Nodes +
order + degree",3.0515296693947925e-14
network_025,Random,FALSE,Full DMWA,Node,0.01467402349032968,0.00172149184164919,0,TRUE,FALSE,0,1.9032847271995e-4,-0.40785285051400694,Nodes,1.467402349032968
network_025,Random,FALSE,Full DMWA,Node + order,0.00149996661258391,2.4791032294405e-4,0,TRUE,FALSE,0,6.821654185989095e-5,1.8261135623610848e-16,"Nodes +
order",0.149996661258391
network_025,Random,FALSE,Full DMWA,Node + order + degree,2.837198526164787e-16,6.938893903907227e-17,0,TRUE,TRUE,0,0,-0.39581187655348093,"Nodes +
order + degree",2.837198526164787e-14
network_026,Core-periphery,FALSE,Full DMWA,Node,0.00400570254677395,3.5170325484697e-4,0,TRUE,FALSE,0,5.707535260499154e-5,-0.4299769056496656,Nodes,0.400570254677395
network_026,Core-periphery,FALSE,Full DMWA,Node + order,3.8297743906703e-4,6.815194028985533e-5,0,TRUE,FALSE,0,2.0153197261498313e-5,-8.159082125324832e-17,"Nodes +
order",0.038297743906703
network_026,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.0920700066888384e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.43285319855540494,"Nodes +
order + degree",2.0920700066888385e-14
network_027,Modular,FALSE,Full DMWA,Node,0.0066125091977728,6.6118266551684e-4,0,TRUE,FALSE,0,1.7103476679969e-4,-0.3885887393704639,Nodes,0.66125091977728
network_027,Modular,FALSE,Full DMWA,Node + order,6.8852857795878e-4,1.1643404749039e-4,0,TRUE,FALSE,0,5.6845447809656505e-5,1.986031226604898e-16,"Nodes +
order",0.068852857795878
network_027,Modular,FALSE,Full DMWA,Node + order + degree,2.2524242063160296e-16,2.775557561562891e-17,0,TRUE,TRUE,0,0,-0.3862066964883545,"Nodes +
order + degree",2.2524242063160295e-14
network_028,Random,FALSE,Full DMWA,Node,0.02809320943764683,0.00236161084890861,0,TRUE,FALSE,0,1.4932099024413e-4,-0.3801466347739104,Nodes,2.809320943764683
network_028,Random,FALSE,Full DMWA,Node + order,9.8316006197177e-4,1.391235381936e-4,0,TRUE,FALSE,0,0,4.314444014100721e-17,"Nodes +
order",0.09831600619717701
network_028,Random,FALSE,Full DMWA,Node + order + degree,2.29207153609919e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.36019923288799366,"Nodes +
order + degree",2.29207153609919e-14
network_029,Core-periphery,FALSE,Full DMWA,Node,0.00427251521922097,5.2838162180434e-4,0,TRUE,FALSE,0,9.548043981456504e-5,-0.3882725226885456,Nodes,0.427251521922097
network_029,Core-periphery,FALSE,Full DMWA,Node + order,6.5721702748217e-4,9.444213486896336e-5,0,TRUE,FALSE,0,3.935100702230567e-5,1.495244952937689e-16,"Nodes +
order",0.065721702748217
network_029,Core-periphery,FALSE,Full DMWA,Node + order + degree,1.986811469382648e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.3892850819455138,"Nodes +
order + degree",1.986811469382648e-14
network_030,Modular,FALSE,Full DMWA,Node,0.00269361108707044,3.1041716499639e-4,0,TRUE,FALSE,0,4.140496272411873e-5,-0.42998406308807896,Nodes,0.269361108707044
network_030,Modular,FALSE,Full DMWA,Node + order,4.6111341994566e-4,6.419013730794149e-5,0,TRUE,FALSE,0,1.8514668804276103e-5,3.870383828688135e-17,"Nodes +
order",0.046111341994566
network_030,Modular,FALSE,Full DMWA,Node + order + degree,3.1185085588714664e-16,6.938893903907227e-17,0,TRUE,TRUE,0,0,-0.4291495155686563,"Nodes +
order + degree",3.118508558871466e-14
network_031,Random,FALSE,Full DMWA,Node,0.01253912889797776,0.00123418677608257,0,TRUE,FALSE,0,1.488748591872e-4,-0.357649692835583,Nodes,1.253912889797776
