network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_017,Full DMWA,5.387254901960783,6.532711762694236,0.8246582885724869,0.5,1.0,-0.3936882622431196,True
network_018,Coverage,4.326923076923077,5.294752635283066,0.8172096743650333,0.5,1.0,-0.38816191770062297,True
network_018,Constant bias,3.301282051282051,4.206793409293297,0.7847502194876349,0.5,1.0,-0.3628545904371337,True
network_018,Full DMWA,3.301282051282051,4.206220863299323,0.7848570387938579,0.5,1.0,-0.3629413061410735,True
network_019,Coverage,4.922619047619047,5.677573055403117,0.8670287461883716,0.5,1.0,-0.4233178516881979,True
network_019,Constant bias,3.488095238095238,4.392496632723615,0.7941031103152848,0.5,1.0,-0.3703588444560019,True
network_019,Full DMWA,3.4880952380952377,4.39004788142869,0.7945460578803705,0.5,1.0,-0.37070985999998385,True
network_020,Coverage,7.569444444444445,8.608829368931008,0.8792652427009796,0.5,1.0,-0.4313433811348325,True
network_020,Constant bias,5.810185185185185,6.694376613557037,0.8679202740728327,0.5,1.0,-0.42391021970983245,True
network_020,Full DMWA,5.810185185185184,6.69123333746769,0.8683279886012852,0.5,1.0,-0.42418071677569036,True
network_021,Coverage,3.325757575757576,3.658295576709875,0.9091002916578518,0.5,1.0,-0.4500056763944152,True
network_021,Constant bias,2.515151515151515,2.899261510612485,0.867514539804371,0.5,1.0,-0.42364078403486566,True
network_021,Full DMWA,2.515151515151515,2.898016286842207,0.867887294688783,0.5,1.0,-0.42388832851931924,True
network_022,Coverage,5.544444444444443,6.389716862147319,0.8677136349013727,0.5,1.0,-0.42377302846367,True
network_022,Constant bias,4.105555555555555,4.95518028845966,0.8285380786481505,0.5,1.0,-0.3965274344230466,True
network_022,Full DMWA,4.105555555555555,4.951051223210996,0.8292290607514466,0.5,1.0,-0.3970302975791752,True
network_023,Coverage,6.318181818181818,7.403989514203988,0.8533482936545047,0.5,1.0,-0.4140727722572388,True
network_023,Constant bias,4.686868686868687,5.763757941149441,0.813161956959977,0.5,1.0,-0.3851163403299642,True
network_023,Full DMWA,4.686868686868687,5.761375980023306,0.8134981475119295,0.5,1.0,-0.3853704504069966,True
network_024,Coverage,4.007246376811594,5.45971283880564,0.7339665098005803,0.5,1.0,-0.3187700074546314,True
network_024,Constant bias,2.9637681159420284,4.314507640002975,0.686930784051175,0.5,1.0,-0.272124627970158,True
network_024,Full DMWA,2.9637681159420284,4.31304037495217,0.6871644729212385,0.5,1.0,-0.2723721616828852,True
network_025,Coverage,5.304597701149426,6.167364644142812,0.8601076808693707,0.5,1.0,-0.41867743874276914,True
network_025,Constant bias,3.9597701149425286,4.788589216554167,0.8269178949937055,0.5,1.0,-0.3953450481274132,True
network_025,Full DMWA,3.959770114942528,4.7848921500534605,0.8275568164892257,0.5,1.0,-0.39581187655348243,True
network_026,Coverage,9.068181818181818,10.246022286388463,0.8850441239258897,0.5,1.0,-0.4350564152868527,True
network_026,Constant bias,6.958333333333334,7.8953258070330605,0.8813231402224003,0.5,1.0,-0.43267119949463084,True
network_026,Full DMWA,6.958333333333332,7.8927929867706474,0.8816059593855317,0.5,1.0,-0.43285319855540433,True
network_027,Coverage,4.425925925925926,5.306220375290728,0.8341014154888787,0.5,1.0,-0.40055250990439434,True
network_027,Constant bias,3.432098765432099,4.213703992365873,0.8145087485144097,0.5,1.0,-0.38613305147187954,True
network_027,Full DMWA,3.4320987654320985,4.21319847842563,0.814606476055358,0.5,1.0,-0.38620669648835343,True
network_028,Coverage,3.733333333333333,4.166386572817615,0.8960602354304776,0.5,1.0,-0.44200179828335495,True
network_028,Constant bias,2.466666666666667,3.157404911204591,0.781232289185742,0.5,1.0,-0.35998549097204413,True
network_028,Full DMWA,2.466666666666667,3.1563504510858915,0.7814932799423618,0.5,1.0,-0.36019923288799527,True
network_029,Coverage,6.957142857142857,8.362486316998426,0.8319466954464335,0.5,1.0,-0.3989999566838921,True
network_029,Constant bias,5.3238095238095235,6.5057008490064625,0.8183298997866717,0.5,1.0,-0.3889994730360675,True
network_029,Full DMWA,5.3238095238095235,6.502659794142049,0.8187126025884826,0.5,1.0,-0.38928508194551414,True
network_030,Coverage,6.347619047619047,7.172700577096733,0.8849691938748612,0.5,1.0,-0.4350085816990563,True
network_030,Constant bias,4.923809523809523,5.62396360879135,0.8755052248404757,0.5,1.0,-0.42890118092544466,True
network_030,Full DMWA,4.923809523809523,5.621518103828668,0.8758860921315981,0.5,1.0,-0.42914951556865616,True
network_031,Coverage,5.1234567901234565,6.315943135648438,0.8111942555666228,0.5,1.0,-0.38362482652105756,True
network_031,Constant bias,3.7962962962962963,4.941054578385548,0.7683170133159524,0.5,1.0,-0.3492269579687333,True
network_031,Full DMWA,3.7962962962962963,4.9381674342530895,0.7687662167879684,0.5,1.0,-0.3496072159764232,True
network_032,Coverage,4.873333333333333,6.345057093465472,0.7680519279097093,0.5,1.0,-0.34900235019164033,True
network_032,Constant bias,3.5533333333333332,4.971824154809225,0.7146940886668747,0.5,1.0,-0.30039997821633785,True
network_032,Full DMWA,3.5533333333333337,4.969957828394454,0.7149624717200546,0.5,1.0,-0.30066259450359556,True
network_033,Coverage,3.1904761904761907,3.8464661274425507,0.8294564633531515,0.5,1.0,-0.39719560689333144,True
network_033,Constant bias,2.349206349206349,3.0227696976591916,0.7771701400293761,0.5,1.0,-0.3566402332684831,True
network_033,Full DMWA,2.349206349206349,3.0207744322421965,0.7776834722024013,0.5,1.0,-0.35706490124574963,True
network_034,Coverage,4.886904761904761,5.372022716949019,0.9096954758747232,0.5,1.0,-0.45036551982494816,True
network_034,Constant bias,3.5892857142857144,4.156888504530939,0.8634548918917245,0.5,1.0,-0.4209309545927067,True
network_034,Full DMWA,3.5892857142857144,4.154138200647072,0.8640265539857647,0.5,1.0,-0.42131408150190136,True
network_035,Coverage,5.214285714285714,6.176756134422578,0.8441786596085458,0.5,1.0,-0.40770831587728834,True
network_035,Constant bias,3.827380952380952,4.8045612831991,0.796614035451017,0.5,1.0,-0.37234347155719427,True
network_035,Full DMWA,3.827380952380952,4.799942718536669,0.7973805473969873,0.5,1.0,-0.37294682992678274,True
network_036,Coverage,4.535714285714286,5.299745934576988,0.8558361743573496,0.5,1.0,-0.41577603870805,True
network_036,Constant bias,3.4880952380952377,4.209684592873897,0.8285882614578401,0.5,1.0,-0.3965639832740486,True
network_036,Full DMWA,3.488095238095238,4.209333662155329,0.8286573405799361,0.5,1.0,-0.3966142873360954,True
network_037,Coverage,5.425287356321839,6.58138393147645,0.8243383781904278,0.5,1.0,-0.3934529639423189,True
network_037,Constant bias,4.063218390804598,5.120471152620148,0.7935243202621006,0.5,1.0,-0.36989958942298173,True
network_037,Full DMWA,4.0632183908045985,5.1169515170366076,0.794070136735972,0.5,1.0,-0.37033269875221475,True
network_038,Coverage,6.638095238095238,7.560133054809379,0.8780394723175425,0.5,1.0,-0.43054951882712955,True
network_038,Constant bias,5.033333333333333,5.890278303661378,0.8545153681795696,0.5,1.0,-0.4148730161925795,True
network_038,Full DMWA,5.033333333333333,5.887177747142047,0.8549654094912938,0.5,1.0,-0.41518101849582584,True
network_039,Coverage,3.8958333333333335,4.396915755967438,0.8860377477203102,0.5,1.0,-0.4356899564533778,True
network_039,Constant bias,2.972222222222222,3.493034519539442,0.850899756528633,0.5,1.0,-0.4123867163391613,True
network_039,Full DMWA,2.9722222222222228,3.491389761444544,0.8513006067224306,0.5,1.0,-0.4126634046168083,True
network_040,Coverage,6.528735632183907,8.234154086475995,0.7928848019624609,0.5,1.0,-0.36939136837727826,True
network_040,Constant bias,4.931034482758621,6.400278817471425,0.7704405735103175,0.5,1.0,-0.35102067934730385,True
network_040,Full DMWA,4.931034482758621,6.398131279599665,0.770699172503875,0.5,1.0,-0.3512384366839507,True
network_041,Coverage,5.0625,6.591844363781704,0.7679944671957746,0.5,1.0,-0.3489536430832878,True
network_041,Constant bias,3.8333333333333335,5.174938262877226,0.7407495777934228,0.5,1.0,-0.3250080526681892,True
network_041,Full DMWA,3.8333333333333335,5.173244315735797,0.7409921317021954,0.5,1.0,-0.3252290022953317,True
network_042,Coverage,6.029411764705882,6.66124643639654,0.9051476810348343,0.5,1.0,-0.4476039540549208,True
network_042,Constant bias,4.656862745098039,5.218615179581658,0.8923560340908963,0.5,1.0,-0.43968552808702277,True
network_042,Full DMWA,4.6568627450980395,5.217207766656114,0.8925967592973169,0.5,1.0,-0.4398366397906079,True
network_043,Coverage,3.0666666666666664,4.091816995337533,0.7494632995955133,0.5,1.0,-0.3328559246732289,True
network_043,Constant bias,2.033333333333333,3.1689401997755544,0.6416445894047945,0.5,1.0,-0.22075240989125677,True
network_043,Full DMWA,2.0333333333333337,3.16639367369137,0.6421606227386379,0.5,1.0,-0.22137860482999083,True
network_044,Coverage,5.202380952380952,6.062169217011361,0.8581715168527936,0.5,1.0,-0.4173658876098921,True
network_044,Constant bias,3.9107142857142856,4.76137276626171,0.8213417595498828,0.5,1.0,-0.39124001161950933,True
network_044,Full DMWA,3.9107142857142856,4.759909901596247,0.8215941827812367,0.5,1.0,-0.3914270445447716,True
network_045,Coverage,4.055555555555555,5.295880550185965,0.7657943786917824,0.5,1.0,-0.3470832198400864,True
network_045,Constant bias,3.069444444444444,4.2070189576706,0.7296008112461599,0.5,1.0,-0.31469374445184783,True
network_045,Full DMWA,3.0694444444444446,4.2064970495221345,0.7296913342167063,0.5,1.0,-0.3147787611638164,True
network_046,Coverage,4.378205128205128,4.8018028809360445,0.9117836022772468,0.5,1.0,-0.45162426835576625,True
network_046,Constant bias,3.1666666666666665,3.6914559542131586,0.857836773875756,0.5,1.0,-0.41713853354529157,True
network_046,Full DMWA,3.166666666666666,3.688370495336617,0.8585543861904421,0.5,1.0,-0.4176257112626411,True
network_047,Coverage,4.079710144927536,5.251747251526355,0.7768291103007325,0.5,1.0,-0.35635779688220576,True
network_047,Constant bias,2.9275362318840576,4.124495436728744,0.7097925738538265,0.5,1.0,-0.2955688486775162,True
network_047,Full DMWA,2.9275362318840576,4.122110938221784,0.710203164291098,0.5,1.0,-0.29597610213539094,True
network_048,Coverage,5.011111111111111,5.430891211224328,0.9227051171185986,0.5,1.0,-0.4581150676161988,True
network_048,Constant bias,3.922222222222222,4.304210080502625,0.911252506003193,0.5,1.0,-0.4513046639585899,True
network_048,Full DMWA,3.922222222222222,4.303548863002893,0.9113925151265525,0.5,1.0,-0.4513889551412764,True
network_049,Coverage,4.802469135802469,5.413026717214702,0.8872058806821486,0.5,1.0,-0.43643295103548707,True
network_049,Constant bias,3.450617283950617,4.163710401169165,0.8287361395215402,0.5,1.0,-0.39667165922235936,True
network_049,Full DMWA,3.450617283950617,4.1599201311565235,0.8294912342442716,0.5,1.0,-0.39722087544959284,True
network_050,Coverage,6.686868686868687,7.733759989418926,0.8646335929764356,0.5,1.0,-0.4217203633289478,True
network_050,Constant bias,5.0353535353535355,6.023902460447046,0.8358955956567483,0.5,1.0,-0.4018391739375557,True
network_050,Full DMWA,5.035353535353536,6.019561285267498,0.8364984251721551,0.5,1.0,-0.40227024348898455,True
network_051,Coverage,5.872222222222222,6.573845194569349,0.893270536256811,0.5,1.0,-0.44025916034887264,True
network_051,Constant bias,4.5055555555555555,5.155609168800543,0.8739133258628634,0.5,1.0,-0.4278608813908141,True
network_051,Full DMWA,4.5055555555555555,5.153240181835363,0.8743150710182637,0.5,1.0,-0.4281237776015025,True
network_052,Coverage,6.171875,7.0767695383897244,0.8721316932138463,0.5,1.0,-0.42669208802918873,True
network_052,Constant bias,4.609375,5.5046639727641065,0.8373581062906285,0.5,1.0,-0.40288390803914964,True
network_052,Full DMWA,4.609375,5.5002553499825915,0.838029274407158,0.5,1.0,-0.40336213152731293,True
network_053,Coverage,9.982905982905983,11.362524510086331,0.8785816896627433,0.5,1.0,-0.43090095561639524,True
network_053,Constant bias,7.683760683760683,8.721881030566658,0.8809751768950087,0.5,1.0,-0.43244711870061303,True
network_053,Full DMWA,7.683760683760683,8.716550932516746,0.8815138858532587,0.5,1.0,-0.43279396045358287,True
network_054,Coverage,6.2598039215686265,7.133060720523821,0.8775761439345962,0.5,1.0,-0.4302488696214327,True
network_054,Constant bias,4.882352941176471,5.5967768244519895,0.8723508359035789,0.5,1.0,-0.4268361083392584,True
network_054,Full DMWA,4.882352941176471,5.593872758308297,0.8728037179474557,0.5,1.0,-0.4271335127033692,True
network_055,Coverage,6.9490740740740735,7.716225684644066,0.9005794229040386,0.5,1.0,-0.44480188278377253,True
network_055,Constant bias,5.314814814814814,6.007766702802121,0.8846573240495337,0.5,1.0,-0.4348094042660036,True
network_055,Full DMWA,5.314814814814814,6.003550924514742,0.8852785429223959,0.5,1.0,-0.4352060105857213,True
network_056,Coverage,10.473484848484848,11.75746135632986,0.8907947499097024,0.5,1.0,-0.43870347231987794,True
network_056,Constant bias,8.068181818181818,9.00001700801541,0.8964629523473455,0.5,1.0,-0.4422524671089052,True
network_056,Full DMWA,8.068181818181818,8.99441240160527,0.8970215571549572,0.5,1.0,-0.44259979483009615,True
network_057,Coverage,3.325757575757576,3.816330260834488,0.8714543418551931,0.5,1.0,-0.42624647559208306,True
network_057,Constant bias,2.4015151515151514,2.9993307492565044,0.800683669885509,0.5,1.0,-0.3755336610380776,True
network_057,Full DMWA,2.4015151515151514,2.997910574469847,0.8010629709793253,0.5,1.0,-0.37582934411668717,True
network_058,Coverage,3.88,4.776050951818913,0.8123866430952416,0.5,1.0,-0.3845295165181828,True
network_058,Constant bias,2.5733333333333337,3.697829705487578,0.695903688997497,0.5,1.0,-0.28150977224982343,True
network_058,Full DMWA,2.5733333333333333,3.696598567784082,0.696135457000924,0.5,1.0,-0.28174898294350736,True
network_059,Coverage,7.27027027027027,8.13042811022323,0.8942050986378695,0.5,1.0,-0.4408441634233113,True
network_059,Constant bias,5.527027027027027,6.32291717642902,0.8741261150203005,0.5,1.0,-0.42800015763356375,True
network_059,Full DMWA,5.527027027027027,6.319215187703831,0.8746382047222773,0.5,1.0,-0.4283350563690944,True
network_060,Coverage,5.65625,6.300607500500114,0.8977308933386237,0.5,1.0,-0.44304022095026646,True
network_060,Constant bias,4.416666666666666,4.962244905748846,0.8900541489900835,0.5,1.0,-0.4382364257642808,True
