network,same_node_error,min_group_state,mass_difference,group_state_L1
network_026,5.551115123125783e-17,0.0045454545454545435,0.0,0.5285272232814919
network_027,5.551115123125783e-17,0.007407407407407404,1.1102230246251565e-16,0.3356616537900338
network_028,6.938893903907228e-17,0.008,0.0,0.5477995597341626
network_029,8.326672684688674e-17,0.005714285714285713,2.220446049250313e-16,0.599512944824795
network_030,4.163336342344337e-17,0.005714285714285713,0.0,0.5102262734013522
network_031,5.551115123125783e-17,0.007407407407407408,1.1102230246251565e-16,0.5928251316477473
network_032,9.71445146547012e-17,0.008,0.0,0.43464423872524205
network_033,8.326672684688674e-17,0.009523809523809518,1.1102230246251565e-16,0.6556836381772044
network_034,5.551115123125783e-17,0.007142857142857138,2.220446049250313e-16,0.4591500847918648
network_035,9.71445146547012e-17,0.007142857142857138,4.440892098500626e-16,0.4267388535592071
network_036,1.1102230246251565e-16,0.007142857142857142,4.440892098500626e-16,0.6878605908684252
network_037,9.71445146547012e-17,0.0068965517241379275,1.1102230246251565e-16,0.4099376044557088
network_038,5.551115123125783e-17,0.005714285714285713,1.1102230246251565e-16,0.4082281046248142
network_039,8.326672684688674e-17,0.008333333333333331,1.1102230246251565e-16,0.5522858634548289
network_040,5.551115123125783e-17,0.0068965517241379275,2.220446049250313e-16,0.6509205935342475
network_041,1.1102230246251565e-16,0.008333333333333331,1.1102230246251565e-16,0.678383945016664
network_042,6.938893903907228e-17,0.0058823529411764705,1.1102230246251565e-16,0.4990894645185474
network_043,6.938893903907228e-17,0.010000000000000002,0.0,0.3645526196877621
network_044,1.249000902703301e-16,0.007142857142857142,3.3306690738754696e-16,0.6777979729042258
network_045,1.1102230246251565e-16,0.008333333333333331,1.1102230246251565e-16,0.89285755095062
network_046,9.71445146547012e-17,0.007692307692307693,0.0,0.5209862459396638
network_047,1.249000902703301e-16,0.008695652173913042,2.220446049250313e-16,0.6521568619056519
network_048,1.8041124150158794e-16,0.006666666666666668,2.220446049250313e-16,0.48959816249297905
network_049,6.938893903907228e-17,0.007407407407407404,3.3306690738754696e-16,0.4982851117491556
network_050,9.71445146547012e-17,0.0060606060606060615,4.440892098500626e-16,0.7132401428251447
network_051,1.942890293094024e-16,0.0066666666666666645,4.440892098500626e-16,0.7537616260276448
network_052,5.551115123125783e-17,0.006249999999999999,0.0,0.5971202172504979
network_053,5.551115123125783e-17,0.005128205128205127,1.1102230246251565e-16,0.45286580601228993
network_054,5.551115123125783e-17,0.0058823529411764705,1.1102230246251565e-16,0.4595309503543671
network_055,2.7755575615628914e-17,0.005555555555555553,1.1102230246251565e-16,0.5647995646651798
network_056,8.326672684688674e-17,0.0045454545454545435,2.220446049250313e-16,0.45386824520974195
network_057,1.1102230246251565e-16,0.009090909090909087,1.1102230246251565e-16,0.5806060771285203
network_058,2.7755575615628914e-17,0.008,0.0,0.4489561671053165
network_059,2.7755575615628914e-17,0.005405405405405406,0.0,0.44350633420777175
network_060,6.938893903907228e-17,0.006249999999999999,0.0,0.5908350335539725
network_061,5.551115123125783e-17,0.005714285714285713,2.220446049250313e-16,0.4681225985535323
network_062,8.326672684688674e-17,0.005714285714285713,4.440892098500626e-16,0.5529258741119618
network_063,4.163336342344337e-17,0.008333333333333331,0.0,0.5190662472021801
network_064,6.938893903907228e-17,0.007142857142857138,1.1102230246251565e-16,0.6866234883698825
network_065,1.6653345369377348e-16,0.005555555555555553,1.1102230246251565e-16,0.5118900883038457
network_066,7.632783294297951e-17,0.0058823529411764705,0.0,0.6499208344841252
network_067,5.551115123125783e-17,0.008,4.440892098500626e-16,0.5601067122335629
network_068,4.163336342344337e-17,0.0058823529411764705,0.0,0.43505427840192845
network_069,8.326672684688674e-17,0.007142857142857138,4.440892098500626e-16,0.5646366032417697
network_070,8.326672684688674e-17,0.007142857142857138,0.0,0.5313660309027652
network_071,1.8041124150158794e-16,0.007692307692307693,0.0,0.7112924733806699
network_072,2.7755575615628914e-17,0.006451612903225806,0.0,0.5419200440226877
network_073,6.938893903907228e-17,0.007692307692307693,0.0,0.7160779061944792
