network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
network_004,Random,False,Coverage,9.214021734706731e-17,8.156669784042948e-17,1.2836953722228372e-16,5.724587470723463e-17,1.97758476261356e-16,1.0,1.0
network_004,Random,False,Constant bias,0.0012872489032811152,0.0009136350543297866,0.0014236568462825932,0.00023206977634730903,0.001715531726439009,1.0012422107521053,1.0015414899422515
network_004,Random,False,Full DMWA,0.0015297583877378004,0.0006482210027177057,0.0011023854682919547,0.00011051710450591962,0.001305806449322917,1.001509526291679,1.0018108480620214
network_005,Core-periphery,False,Coverage,3.0313747359698864e-16,2.106387980704838e-16,5.221517662690189e-16,6.418476861114186e-17,7.563394355258879e-16,1.0000000000000004,1.0
network_005,Core-periphery,False,Constant bias,0.010731603140119068,0.0037679257403815418,0.003928836762282267,0.0018558629744569203,0.005521072679775259,1.009733518863864,1.014283653773122
network_005,Core-periphery,False,Full DMWA,0.00969640034068019,0.0037227192092763144,0.004101429694396228,0.0017548306682315905,0.005577215273385942,1.009007014122885,1.0120932281851653
network_006,Modular,False,Coverage,9.082533750823617e-17,7.164407955784213e-17,1.1102230246251565e-16,5.898059818321144e-17,1.700029006457271e-16,1.0,0.9999999999999998
network_006,Modular,False,Constant bias,0.0020700128230369988,0.001488507257124233,0.001947850211077455,0.00051804335603816,0.0024921409242578997,0.998196456586372,0.9967702382907518
network_006,Modular,False,Full DMWA,0.0009044302116937669,0.0015739953460650682,0.002080834484980268,0.000560986760271269,0.0026434715829799817,0.9992011208202946,0.9983700458882335
network_007,Random,False,Coverage,8.535106919902151e-17,9.805090767089904e-17,1.8561541192951836e-16,5.551115123125783e-17,2.636779683484747e-16,0.9999999999999998,1.0
network_007,Random,False,Constant bias,0.0072472198702646555,0.002114195474833256,0.0031544662749799744,0.00036771370845546636,0.004075128659776524,0.9927444944682704,0.9930276301883402
